хлеб; Хлебобулочное изделие 
молот; Инструмент, у Тора есть один такой
россия; Страна, ооооочень большая
эстония; родина квашеной капусты, медленные люди
питон; змея и язык программирования
алкоголь; это слово в арабском языке обозначает сурьму
терменвокс; музыкальный инстурмент, на котором можно играть, не касаясь его
шашлык; эту еду жарят в мае
пиво; напиток, популярный среди друзей моего отца
пицца; самая вкусная еда в техе
хаус; жанр электронной музыки
квинта; музыкальный интервал в 5 ступеней

